"#Chr	"	"Pos	"	"Alt Count	"	"Ref Count	"	"Read Depth	"	"Ratio	"
II	200682	1	7	8	0.5
II	200756	1	6	7	0.5
II	201289	1	6	7	0.5
II	203859	2	8	10	0.5
II	204042	2	6	8	0.5
II	205796	3	5	8	0.5
II	208505	1	7	8	0.5
II	209333	1	7	8	0.5
II	210240	1	7	8	0.5
II	210715	1	10	11	0.5
II	210724	1	8	9	0.5
II	211626	1	6	7	0.5
II	212074	1	6	7	0.5
II	212139	1	5	7	0.5
II	212172	2	11	13	0.5
II	212176	2	11	13	0.5
II	213038	1	7	8	0.5
II	213334	1	7	8	0.5
II	213337	1	7	8	0.5
II	213413	1	6	7	0.5
II	215418	1	6	7	0.5
II	216856	1	6	7	0.5
II	217511	1	7	8	0.5
II	217727	1	7	8	0.5
II	219174	1	9	10	0.5
II	219262	1	6	7	0.5
II	221259	1	8	9	0.5
II	222605	1	6	7	0.5
II	222874	5	2	7	0.5
II	222927	1	9	10	0.5
II	223274	1	9	10	0.5
II	225575	1	9	10	0.5
II	227913	2	5	8	0.5
II	228200	2	5	7	0.5
II	228292	1	8	9	0.5
II	229999	1	6	7	0.5
II	230014	1	6	7	0.5
II	231144	1	7	8	0.5
II	232215	1	8	9	0.5
II	232249	1	8	9	0.5
II	232580	1	8	9	0.5
II	235745	1	9	10	0.5
II	236565	1	7	8	0.5
II	236904	1	7	8	0.5
II	240223	1	7	8	0.5
II	240237	1	6	7	0.5
II	240246	1	7	8	0.5
II	240282	1	6	7	0.5
II	240309	1	6	7	0.5
II	240365	1	8	9	0.5
II	240369	1	7	8	0.5
II	240371	1	7	8	0.5
II	247476	1	8	9	0.5
II	247567	1	7	8	0.5
II	248091	4	5	9	0.5
II	248206	1	6	7	0.5
II	248470	1	8	9	0.5
II	248597	1	8	9	0.5
II	249866	3	5	8	0.5
II	250834	2	14	16	0.5
II	251853	6	11	17	0.5
II	252420	2	5	7	0.5
II	252909	1	9	10	0.5
II	253447	1	6	7	0.5
II	253733	1	6	7	0.5
II	255091	1	6	7	0.5
II	256625	1	6	7	0.5
II	256933	1	8	9	0.5
II	257101	3	4	7	0.5
II	257287	1	9	10	0.5
II	257289	2	8	10	0.5
II	258568	1	6	7	0.5
II	259386	1	7	8	0.5
II	259419	1	9	10	0.5
II	259958	1	6	7	0.5
II	260164	1	8	9	0.5
II	261768	1	6	7	0.5
II	263729	1	8	9	0.5
II	263732	1	8	9	0.5
II	263742	1	7	8	0.5
II	264333	1	6	7	0.5
II	265133	1	6	7	0.5
II	265146	1	6	7	0.5
II	267179	1	6	7	0.5
II	268154	5	4	9	0.5
II	268228	4	4	8	0.5
II	269470	1	8	9	0.5
II	270804	4	3	7	0.5
II	270844	5	4	9	0.5
II	270865	4	4	8	0.5
II	271647	1	6	7	0.5
II	273020	1	8	9	0.5
II	278448	1	6	7	0.5
II	278450	1	6	7	0.5
II	280269	1	8	9	0.5
II	281430	1	6	7	0.5
II	281858	6	1	7	0.5
II	281869	1	6	7	0.5
II	282870	1	6	7	0.5
II	283380	1	8	9	0.5
II	283827	1	8	9	0.5
II	286222	1	6	7	0.5
II	286843	1	6	7	0.5
II	289681	1	7	8	0.5
II	290986	1	7	8	0.5
II	291187	1	6	7	0.5
II	291489	1	7	8	0.5
II	291717	1	8	9	0.5
II	291754	1	6	7	0.5
II	292816	1	7	8	0.5
II	292823	1	7	8	0.5
II	292918	1	8	9	0.5
II	294044	1	6	7	0.5
II	294236	7	9	16	0.5
II	295174	1	9	10	0.5
II	295275	3	5	8	0.5
II	295528	4	6	10	0.5
II	296148	1	6	7	0.5
II	296236	1	6	7	0.5
II	296239	1	6	7	0.5
II	296241	1	6	7	0.5
II	296360	1	7	8	0.5
II	297230	1	6	7	0.5
II	297328	1	6	7	0.5
II	297684	1	8	9	0.5
II	297819	1	6	7	0.5
II	298338	1	6	7	0.5
II	299109	1	6	7	0.5
II	301803	1	8	9	0.5
II	301905	1	6	7	0.5
II	301909	1	6	7	0.5
II	302439	1	6	7	0.5
II	302478	1	6	7	0.5
II	302789	1	6	7	0.5
II	303814	1	6	7	0.5
II	304515	7	3	10	0.5
II	304854	9	5	14	0.5
II	305741	1	7	8	0.5
II	306778	1	9	10	0.5
II	307018	1	6	7	0.5
II	308360	1	9	10	0.5
II	308420	1	7	8	0.5
II	310246	1	9	10	0.5
II	310411	7	8	15	0.5
II	311142	1	9	10	0.5
II	311467	1	7	8	0.5
II	311469	3	4	7	0.5
II	315468	1	7	8	0.5
II	319131	1	6	7	0.5
II	319503	1	8	9	0.5
II	322154	1	6	7	0.5
II	322637	7	4	11	0.5
II	323174	1	9	10	0.5
II	323219	6	4	10	0.5
II	323396	1	7	8	0.5
II	325773	1	6	7	0.5
II	327201	1	6	7	0.5
II	327213	2	5	7	0.5
II	327264	1	6	7	0.5
II	327321	1	8	9	0.5
II	327329	1	7	8	0.5
II	327810	1	7	8	0.5
II	328248	1	9	10	0.5
II	328305	2	6	8	0.5
II	329111	7	6	13	0.5
II	330151	1	7	8	0.5
II	330152	1	7	8	0.5
II	330283	1	6	7	0.5
II	330980	1	6	7	0.5
II	330982	1	6	7	0.5
II	331116	1	6	7	0.5
II	332955	1	7	8	0.5
II	333418	6	8	14	0.5
II	333679	1	7	8	0.5
II	333768	1	7	8	0.5
II	334124	1	7	8	0.5
II	334203	1	8	9	0.5
II	334880	1	7	8	0.5
II	335874	1	6	7	0.5
II	335878	1	7	8	0.5
II	337366	1	6	7	0.5
II	337939	5	5	10	0.5
II	337978	1	8	9	0.5
II	337997	1	9	10	0.5
II	338416	2	11	13	0.5
II	338578	1	9	10	0.5
II	338781	1	7	8	0.5
II	338799	1	8	9	0.5
II	339251	1	9	10	0.5
II	339947	5	12	17	0.5
II	340177	2	6	8	0.5
II	341217	1	6	7	0.5
II	343652	3	6	9	0.5
II	344280	4	4	8	0.5
II	344284	1	7	8	0.5
II	344304	1	7	8	0.5
II	344488	1	6	7	0.5
II	344688	1	7	8	0.5
II	344707	1	7	8	0.5
II	348389	1	6	7	0.5
II	348709	2	11	13	0.5
II	348891	1	10	11	0.5
II	348965	1	6	7	0.5
II	349780	1	6	7	0.5
II	350566	2	5	7	0.5
II	350696	1	8	9	0.5
II	353641	1	7	8	0.5
II	354440	1	6	7	0.5
II	354456	1	6	7	0.5
II	354837	5	3	8	0.5
II	359650	1	6	7	0.5
II	361314	1	6	7	0.5
II	362500	2	7	9	0.5
II	362590	1	6	7	0.5
II	362704	1	6	7	0.5
II	362758	4	3	7	0.5
II	362792	1	6	7	0.5
II	363396	1	6	7	0.5
II	363710	1	7	8	0.5
II	363799	1	8	9	0.5
II	363931	1	6	7	0.5
II	364436	1	7	8	0.5
II	364513	1	6	7	0.5
II	366669	1	6	7	0.5
II	368064	5	7	12	0.5
II	368103	1	9	10	0.5
II	368649	6	5	11	0.5
II	369706	1	7	8	0.5
II	372958	1	7	8	0.5
II	372986	1	7	8	0.5
II	373705	1	6	7	0.5
II	374031	2	12	14	0.5
II	374623	1	7	8	0.5
II	375609	1	9	10	0.5
II	376574	5	8	13	0.5
II	376699	6	5	11	0.5
II	376772	2	7	9	0.5
II	378083	1	6	7	0.5
II	378588	1	7	8	0.5
II	379863	1	6	7	0.5
II	380565	1	6	7	0.5
II	381003	3	4	7	0.5
II	381764	1	9	10	0.5
II	381843	5	4	9	0.5
II	381860	1	7	8	0.5
II	381887	1	8	9	0.5
II	382083	1	6	7	0.5
II	382120	2	7	9	0.5
II	382559	1	6	7	0.5
II	383309	1	9	10	0.5
II	384020	1	6	7	0.5
II	384027	1	7	8	0.5
II	384081	2	8	10	0.5
II	384496	7	5	12	0.5
II	384623	1	7	8	0.5
II	384964	3	12	15	0.5
II	386143	1	6	7	0.5
II	386213	1	7	8	0.5
II	386270	1	6	7	0.5
II	386509	1	7	8	0.5
II	387198	2	5	7	0.5
II	387642	1	9	10	0.5
II	387938	1	7	8	0.5
II	390757	5	11	16	0.5
II	391221	3	5	8	0.5
II	391535	7	5	12	0.5
II	392583	7	4	11	0.5
II	392933	3	6	9	0.5
II	393334	1	6	7	0.5
II	393542	6	4	10	0.5
II	394394	3	5	8	0.5
II	394497	1	8	9	0.5
II	394499	1	8	9	0.5
II	394551	1	6	7	0.5
II	394653	1	9	10	0.5
II	396203	1	8	9	0.5
II	396206	1	8	9	0.5
II	396211	1	9	10	0.5
II	396444	1	7	8	0.5
II	397341	3	4	7	0.5
II	398425	1	6	7	0.5
II	398537	1	7	8	0.5
II	398573	1	6	7	0.5
II	398595	1	6	7	0.5
II	398614	1	7	8	0.5
II	398779	8	5	13	0.5
II	399196	1	9	10	0.5
II	400535	1	7	8	0.5
II	400581	3	11	14	0.5
II	400645	1	7	8	0.5
II	402258	4	6	10	0.5
II	402310	5	10	15	0.5
II	402337	6	6	12	0.5
II	402361	4	7	11	0.5
II	402439	6	4	10	0.5
II	402714	1	8	9	0.5
II	405935	4	10	14	0.5
II	405940	4	9	13	0.5
II	405990	1	7	8	0.5
II	405995	2	7	9	0.5
II	406190	7	7	14	0.5
II	406205	7	7	14	0.5
II	408805	5	12	17	0.5
II	408834	5	12	17	0.5
II	408864	7	11	18	0.5
II	408908	4	10	14	0.5
II	409464	1	6	7	0.5
II	409482	2	5	7	0.5
II	409644	2	6	8	0.5
II	409743	8	3	11	0.5
II	409876	5	2	7	0.5
II	410066	1	9	10	0.5
II	410267	1	6	7	0.5
II	410370	3	6	9	0.5
II	410482	1	6	7	0.5
II	410511	4	3	7	0.5
II	411281	2	8	10	0.5
II	413490	3	4	7	0.5
II	413502	1	8	9	0.5
II	413963	2	5	7	0.5
II	414622	1	7	8	0.5
II	414732	1	8	9	0.5
II	414753	4	3	7	0.5
II	414776	1	6	7	0.5
II	415264	7	4	11	0.5
II	415685	3	7	10	0.5
II	416635	1	10	11	0.5
II	416730	12	6	18	0.5
II	417315	9	12	21	0.5
II	417383	9	10	19	0.5
II	417868	7	9	16	0.5
II	418067	5	5	10	0.5
II	418654	1	6	7	0.5
II	419322	1	6	7	0.5
II	419948	1	6	7	0.5
II	421264	1	6	7	0.5
II	421287	1	7	8	0.5
II	421663	1	6	7	0.5
II	428260	1	7	8	0.5
II	428262	1	8	9	0.5
II	428342	9	3	12	0.5
II	428721	6	8	14	0.5
II	430263	1	6	7	0.5
II	431233	6	1	7	0.5
II	431260	1	8	9	0.5
II	433292	1	6	7	0.5
II	433373	2	5	7	0.5
II	435306	4	3	7	0.5
II	435343	4	4	8	0.5
II	436544	1	9	10	0.5
II	437084	9	7	16	0.5
II	439202	4	3	7	0.5
II	442526	1	6	7	0.5
II	442912	1	8	9	0.5
II	442940	1	7	8	0.5
II	448640	1	9	10	0.5
II	450431	2	6	8	0.5
II	450436	1	6	7	0.5
II	450597	2	5	7	0.5
II	450839	1	9	10	0.5
II	450887	3	4	7	0.5
II	451109	1	10	11	0.5
II	451410	9	4	13	0.5
II	451711	3	6	9	0.5
II	452086	2	5	7	0.5
II	452094	2	5	7	0.5
II	452162	3	6	9	0.5
II	452240	3	7	10	0.5
II	452243	3	7	10	0.5
II	452255	3	6	9	0.5
II	452259	2	6	8	0.5
II	454505	6	1	7	1.0
II	456915	1	6	7	0.5
II	457491	5	2	7	0.5
II	457659	3	4	7	0.5
II	458877	3	5	8	0.5
II	458906	1	8	9	0.5
II	458908	1	8	9	0.5
II	459828	1	9	10	0.5
II	459846	1	8	9	0.5
II	459854	1	9	10	0.5
II	459858	1	9	10	0.5
II	460241	1	6	7	0.5
II	460547	1	6	7	0.5
II	460830	2	5	7	0.5
II	461748	1	7	8	0.5
II	462062	2	8	10	0.5
II	462092	1	9	10	0.5
II	462532	1	8	9	0.5
II	464603	1	7	8	0.5
II	467165	1	7	8	0.5
II	468440	1	7	8	0.5
II	472086	1	7	8	0.5
II	472088	1	7	8	0.5
II	472132	3	4	7	0.5
II	472942	5	6	11	0.5
II	472987	5	8	13	0.5
II	474130	1	8	9	0.5
II	474201	1	8	9	0.5
II	474437	1	7	8	0.5
II	474439	1	8	9	0.5
II	474460	1	8	9	0.5
II	474622	1	6	7	0.5
II	474815	3	5	8	0.5
II	474946	5	3	8	0.5
II	475005	5	2	7	0.5
II	475649	5	6	11	0.5
II	476369	1	7	8	0.5
II	476434	4	6	10	0.5
II	476526	6	15	21	0.5
II	476594	1	9	10	0.5
II	476600	5	5	10	0.5
II	476649	5	10	15	0.5
II	476976	1	8	9	0.5
II	477111	1	7	8	0.5
II	477324	1	6	7	0.5
II	477371	1	6	7	0.5
II	477391	1	6	7	0.5
II	477476	1	8	9	0.5
II	477688	1	8	9	0.5
II	477792	1	7	8	0.5
II	477795	1	7	8	0.5
II	477804	1	7	8	0.5
II	481273	1	8	9	0.5
II	481577	1	7	8	0.5
II	483237	1	7	8	0.5
II	483496	1	7	8	0.5
II	483516	1	7	8	0.5
II	483524	1	6	7	0.5
II	483592	1	6	7	0.5
II	483700	1	6	7	0.5
II	483925	1	9	10	0.5
II	484070	5	4	9	0.5
II	484422	1	7	8	0.5
II	484662	3	5	8	0.5
II	485400	1	6	7	0.5
II	486167	1	6	7	0.5
II	486170	5	2	7	0.5
II	487558	1	7	8	0.5
II	491048	1	7	8	0.5
II	495658	1	7	8	0.5
II	495681	4	4	8	0.5
II	496503	1	6	7	0.5
II	501154	5	4	9	0.5
II	501204	5	35	40	0.5
II	501223	18	29	47	0.5
II	501292	4	12	16	0.5
II	501990	2	6	8	0.5
II	502011	4	10	14	0.5
II	502017	4	10	14	0.5
II	502195	1	6	7	0.5
II	502585	17	4	21	0.5
II	502613	18	4	22	0.5
II	502704	1	7	8	0.5
II	502713	1	6	7	0.5
II	502795	1	7	8	0.5
II	503015	8	7	15	0.5
II	503073	2	7	9	0.5
II	503217	1	7	8	0.5
II	503306	10	3	13	0.5
II	503527	5	2	7	0.5
II	503620	1	7	8	0.5
II	504843	4	3	7	0.5
II	504858	4	3	7	0.5
II	505095	6	7	13	0.5
II	505352	5	4	9	0.5
II	505854	4	6	10	0.5
II	505910	2	13	15	0.5
II	505982	6	7	13	0.5
II	505990	3	10	13	0.5
II	506185	4	7	11	0.5
II	506201	3	7	10	0.5
II	506335	1	6	7	0.5
II	506453	4	5	9	0.5
II	506473	1	6	7	0.5
II	506501	1	8	9	0.5
II	506533	5	7	12	0.5
II	507531	4	5	9	0.5
II	507596	1	8	9	0.5
II	508296	1	6	7	0.5
II	508320	1	6	7	0.5
II	508416	1	6	7	0.5
II	508419	2	5	7	0.5
II	508541	3	7	10	0.5
II	508555	2	8	10	0.5
II	508630	3	8	11	0.5
II	508646	1	10	11	0.5
II	508779	9	5	14	0.5
II	508823	4	12	16	0.5
II	508824	6	10	16	0.5
II	508852	6	14	20	0.5
II	508905	3	14	17	0.5
II	509077	2	13	15	0.5
II	509093	6	5	11	0.5
II	509264	2	16	18	0.5
II	509346	2	16	18	0.5
II	509453	6	11	17	0.5
II	510055	8	4	12	0.5
II	510061	7	4	11	0.5
II	510222	2	13	15	0.5
II	510257	3	8	11	0.5
II	510260	3	8	11	0.5
II	510402	1	6	7	0.5
II	510420	6	3	9	0.5
II	510454	9	4	13	0.5
II	510516	3	19	22	0.5
II	510554	4	13	17	0.5
II	510578	6	10	16	0.5
II	510589	4	8	12	0.5
II	510660	2	6	8	0.5
II	510662	2	7	9	0.5
II	510953	5	2	7	0.5
II	510957	5	2	7	0.5
II	511257	1	10	11	0.5
II	511363	1	8	9	0.5
II	511558	9	6	15	0.5
II	511650	1	8	9	0.5
II	511773	4	4	8	0.5
II	511924	9	2	12	0.5
II	512299	2	8	10	0.5
II	513949	1	6	7	0.5
II	513963	1	6	7	0.5
II	519621	1	6	7	0.5
II	519636	1	6	7	0.5
II	519791	1	6	7	0.5
II	525627	1	6	7	0.5
II	526436	1	6	7	0.5
II	526438	1	6	7	0.5
II	527675	1	7	8	0.5
II	527683	1	9	10	0.5
II	527822	1	6	7	0.5
II	528740	1	8	9	0.5
II	529818	1	8	9	0.5
II	530783	3	8	11	0.5
II	530791	1	10	11	0.5
II	530797	4	8	12	0.5
II	530946	1	7	8	0.5
II	531875	4	3	7	0.5
II	532246	4	3	7	0.5
II	534036	1	6	7	0.5
II	535311	6	4	10	0.5
II	535340	6	6	12	0.5
II	536664	1	6	7	0.5
II	537014	1	7	8	0.5
II	537063	1	6	7	0.5
II	539224	1	7	8	0.5
II	540749	1	6	7	0.5
II	541686	1	6	7	0.5
II	541722	1	8	9	0.5
II	541770	1	6	7	0.5
II	542949	2	8	10	0.5
II	546809	5	2	7	0.5
II	547585	1	6	7	0.5
II	548942	2	5	7	0.5
II	549051	1	6	7	0.5
II	549137	1	7	8	0.5
II	549194	1	6	7	0.5
II	549248	5	2	7	0.5
II	549588	1	7	8	0.5
II	550050	1	6	7	0.5
II	550309	6	2	8	0.5
II	550343	1	6	7	0.5
II	550422	5	3	8	0.5
II	550847	1	8	9	0.5
II	551010	4	3	7	0.5
II	551122	4	10	14	0.5
II	551125	2	11	13	0.5
II	551157	5	7	12	0.5
II	553047	5	3	8	0.5
II	553473	1	6	7	0.5
II	553825	1	6	7	0.5
II	553863	6	3	9	0.5
II	554022	1	8	9	0.5
II	555471	1	9	10	0.5
II	555664	5	4	9	0.5
II	556498	2	5	7	0.5
II	558452	3	4	7	0.5
II	558658	1	7	8	0.5
II	560133	3	6	9	0.5
II	563484	3	8	11	0.5
II	564119	1	6	7	0.5
II	564490	1	6	7	0.5
II	564493	1	7	8	0.5
II	564502	1	6	7	0.5
II	564532	3	4	7	0.5
II	564573	3	6	9	0.5
II	564900	7	6	13	0.5
II	564907	6	6	12	0.5
II	564992	1	10	11	0.5
II	565045	5	3	8	0.5
II	565116	7	5	12	0.5
II	565390	2	9	11	0.5
II	565870	1	8	9	0.5
II	566125	5	9	14	0.5
II	566628	1	6	7	0.5
II	566639	3	6	9	0.5
II	567201	5	5	10	0.5
II	567456	1	8	9	0.5
II	567519	6	6	12	0.5
II	567662	1	10	11	0.5
II	567775	1	6	7	0.5
II	567837	4	6	10	0.5
II	568477	5	2	7	0.5
II	568702	4	3	7	0.5
II	568704	4	3	7	0.5
II	569971	1	9	10	0.5
II	569976	1	7	8	0.5
II	569982	1	7	8	0.5
II	571485	3	4	7	0.5
II	571604	1	6	7	0.5
II	571684	4	4	8	0.5
II	571757	4	5	9	0.5
II	572244	8	5	13	0.5
II	572273	7	6	13	0.5
II	573460	1	9	10	0.5
II	573522	5	8	13	0.5
II	574714	1	8	9	0.5
II	574804	1	7	8	0.5
II	575147	4	3	7	0.5
II	575269	2	7	9	0.5
II	575286	1	7	8	0.5
II	575497	1	9	10	0.5
II	577595	6	5	11	0.5
II	578410	3	4	7	0.5
II	579754	1	8	9	0.5
II	579835	1	9	10	0.5
II	580432	1	7	8	0.5
II	580451	1	8	9	0.5
II	581855	1	7	8	0.5
II	582829	1	8	9	0.5
II	583126	8	6	14	0.5
II	584014	1	7	8	0.5
II	584136	1	6	7	0.5
II	584357	1	7	8	0.5
II	584553	4	7	11	0.5
II	584635	1	6	7	0.5
II	586088	1	6	7	0.5
II	586123	1	7	8	0.5
II	586158	1	6	7	0.5
II	587857	1	7	8	0.5
II	587906	2	6	8	0.5
II	589609	1	6	7	0.5
II	589685	1	6	7	0.5
II	590269	1	6	7	0.5
II	590422	1	7	8	0.5
II	590542	1	7	8	0.5
II	594374	2	6	8	0.5
II	595353	1	9	10	0.5
II	597178	1	7	8	0.5
II	597680	6	8	14	0.5
II	598026	1	8	9	0.5
II	598137	1	8	9	0.5
II	599491	7	2	9	0.5
II	599880	1	6	7	0.5
II	600085	1	6	7	0.5
II	600589	1	6	7	0.5
II	600776	1	7	8	0.5
